count,TweetId,TimeStamp,Tweet,LocationName_User,Latitude,Longitude,BoundingPoint,User Mentions,URLs,Hashtags,Fav_Count,Followers_Count
35,1.22923E+18,17-02-2020 02:07,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59",,NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",7322,270
,,,,,,,,,,,,
36,1.22923E+18,17-02-2020 02:06,"TRIGGERED! Donald Trump Saves the Planet, Leads World in Lowering CO2 Emissions https://t.co/ggxte958Ih

#ClimateHoax #parisaccord #climatescience #KAG2020",Serenity Valley,NA,NA,NA,['annvandersteel'],['https://t.co/ggxte958Ih'],['ClimateHoax'],2038,4917
,,,,,,,,,,,,
37,1.22922E+18,17-02-2020 01:50,"TRIGGERED! Donald Trump Saves the Planet, Leads World in Lowering CO2 Emissions https://t.co/ggxte958Ih

#ClimateHoax #parisaccord #climatescience #KAG2020","Texas, USA",NA,NA,NA,['annvandersteel'],['https://t.co/ggxte958Ih'],['ClimateHoax'],490799,5492
,,,,,,,,,,,,
38,1.22922E+18,17-02-2020 01:49,"TRIGGERED! Donald Trump Saves the Planet, Leads World in Lowering CO2 Emissions https://t.co/ggxte958Ih

#ClimateHoax #parisaccord #climatescience #KAG2020",,NA,NA,NA,['annvandersteel'],['https://t.co/ggxte958Ih'],['ClimateHoax'],129122,13248
,,,,,,,,,,,,
39,1.22922E+18,17-02-2020 01:48,"TRIGGERED! Donald Trump Saves the Planet, Leads World in Lowering CO2 Emissions https://t.co/ggxte958Ih

#ClimateHoax #parisaccord #climatescience #KAG2020",The Jungle,NA,NA,NA,['annvandersteel'],['https://t.co/ggxte958Ih'],['ClimateHoax'],19925,456
,,,,,,,,,,,,
40,1.22922E+18,17-02-2020 01:48,"TRIGGERED! Donald Trump Saves the Planet, Leads World in Lowering CO2 Emissions https://t.co/ggxte958Ih

#ClimateHoax #parisaccord #climatescience #KAG2020",United States,NA,NA,NA,['annvandersteel'],['https://t.co/ggxte958Ih'],['ClimateHoax'],258006,4383
,,,,,,,,,,,,
41,1.22922E+18,17-02-2020 01:47,"TRIGGERED! Donald Trump Saves the Planet, Leads World in Lowering CO2 Emissions https://t.co/ggxte958Ih

#ClimateHoax #parisaccord #climatescience #KAG2020","South Carolina, USA",NA,NA,NA,['annvandersteel'],['https://t.co/ggxte958Ih'],['ClimateHoax'],86490,25931
,,,,,,,,,,,,
42,1.22922E+18,17-02-2020 01:47,"TRIGGERED! Donald Trump Saves the Planet, Leads World in Lowering CO2 Emissions https://t.co/ggxte958Ih

#ClimateHoax #parisaccord #climatescience #KAG2020","Florida, USA",NA,NA,NA,[],['https://t.co/ggxte958Ih'],"['KAG2020', 'climatescience', 'parisaccord', 'ClimateHoax']",5117,11108
,,,,,,,,,,,,
43,1.22916E+18,16-02-2020 22:00,My opinion: https://t.co/2jFTq1GBBX #politicalcartoon #environment #parisaccord #polarbears https://t.co/D5p8GfZq1Z,,NA,NA,NA,[],['https://t.co/2jFTq1GBBX'],"['polarbears', 'parisaccord', 'environment', 'politicalcartoon']",4,10
,,,,,,,,,,,,
44,1.22915E+18,16-02-2020 21:18,French ski resort uses helicopters to deliver snow for bare slopes - BBC News. There’s just too much wrong with this headline. I was sure France had signed up to the #ParisAccord to reduce carbon emissions #ClimateBreakdown #GlobalWarming #ConnectTheDots  https://t.co/m7UPkOsrwo,,NA,NA,NA,[],['https://t.co/m7UPkOsrwo'],"['ConnectTheDots', 'GlobalWarming', 'ClimateBreakdown', 'ParisAccord']",13174,543
,,,,,,,,,,,,
45,1.22913E+18,16-02-2020 19:31,"@MikeBloomberg #Bloombarf went to Germany with #AlWhore and #ObaMao to get money to fund #ParisAccord Chemtrails to spray on you and your family 👏👏👏#StreaksAreNotClouds unless you’re #MiniMike 🤣✅

#Chemtrails #GeoEngineering #FuckYouGret",Virginia ,NA,NA,NA,"['MikeBloomberg', 'MonaFishman']",[],"['ParisAccord', 'ObaMao', 'AlWhore', 'Bloombarf']",128280,21062
,,,,,,,,,,,,
46,1.22912E+18,16-02-2020 19:12,"@Jontybx @Holbornlolz Funny you should say that but when people talk about the #ParisAccord, they conveniently forget that it did not cover shipping.",,NA,NA,NA,"['Holbornlolz', 'Jontybx']",[],['ParisAccord'],8990,387
,,,,,,,,,,,,
47,1.22911E+18,16-02-2020 18:27,@StormIsUponUs #Agenda21 on steroids! 2021 the  Satanic Group apocalyptic year plan to eliminate 80% of the world's populationNuclear war (#UraniumOne #iran) Biowafare leading to mandatory *fatal* vaccines (#coronavirus)? #ClimateChange Socialist agenda t,,NA,NA,NA,"['StormIsUponUs', 'sovereignity77']",[],['Agenda21'],18066,871
,,,,,,,,,,,,
48,1.22909E+18,16-02-2020 17:15,"#IranDeal; #Congress abrogated their responsibilities. #ObamaAdminstration @JohnKerry lied, withheld and corrupted the entire #IranianDeal. #Obama #Dems were SILENT on this one. Same on the '#ParisAccord' and #DACA. #WalkAway https://t.co/9Sf9GYSL3s",,NA,NA,NA,['JohnKerry'],['https://t.co/9Sf9GYSL3s'],"['WalkAway', 'DACA', 'ParisAccord', 'Dems', 'Obama', 'IranianDeal', 'ObamaAdminstration', 'Congress', 'IranDeal']",41228,4724
,,,,,,,,,,,,
49,1.22909E+18,16-02-2020 17:10,"@MikeBloomberg #Bloombarf went to Germany with #AlWhore and #ObaMao to get money to fund #ParisAccord Chemtrails to spray on you and your family 👏👏👏#StreaksAreNotClouds unless you’re #MiniMike 🤣✅

#Chemtrails #GeoEngineering #FuckYouGret",Las Spraygas aka #VegasWeak,NA,NA,NA,['MikeBloomberg'],['https://t.co/QOdxKMqJrr'],"['FuckYouGreta', 'GeoEngineering', 'Chemtrails', 'MiniMike', 'StreaksAreNotClouds', 'ParisAccord', 'ObaMao', 'AlWhore', 'Bloombarf']",56388,7396
,,,,,,,,,,,,
50,1.22904E+18,16-02-2020 14:01,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59",,NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",6150,146
,,,,,,,,,,,,
51,1.22904E+18,16-02-2020 13:42,@StormIsUponUs #Agenda21 on steroids! 2021 the  Satanic Group apocalyptic year plan to eliminate 80% of the world's populationNuclear war (#UraniumOne #iran) Biowafare leading to mandatory *fatal* vaccines (#coronavirus)? #ClimateChange Socialist agenda t,,NA,NA,NA,"['StormIsUponUs', 'sovereignity77']",[],['Agenda21'],0,1
,,,,,,,,,,,,
52,1.2288E+18,15-02-2020 22:09,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59",Norfolk UK,NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",178389,4519
,,,,,,,,,,,,
53,1.22875E+18,15-02-2020 18:17,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59",London,NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",46778,1611
,,,,,,,,,,,,
54,1.22872E+18,15-02-2020 16:54,This should be looked into. Forget the #ParisAccord. This is polluting drinking water. #ICYMI https://t.co/ijhTksPD6t,FL,NA,NA,NA,[],['https://t.co/ijhTksPD6t'],"['ICYMI', 'ParisAccord']",5617,133
,,,,,,,,,,,,
55,1.22871E+18,15-02-2020 16:09,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59",England,NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",40858,734
,,,,,,,,,,,,
56,1.22871E+18,15-02-2020 16:04,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59","Stedham, West Sussex",NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",11868,351
,,,,,,,,,,,,
57,1.22871E+18,15-02-2020 15:49,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59",Cumbria,NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",7701,5606
,,,,,,,,,,,,
58,1.22871E+18,15-02-2020 15:40,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59",The United Kingdom of Great Britain & Northern Ireland. 🇬🇧,NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",77863,3475
,,,,,,,,,,,,
